ID;DNI;MATRICULA;KM_RECORRIDOS;NUMERO_ACELERONES;NUMERO_FRENAZOS;RPM_MEDIA;INICIO;FIN
53;12345678A;5567JJL;194,1306261;2;4;2681;2019-12-24 08:55:42.531;2019-12-24 09:01:06.512
54;12345678A;5567JJL;165,5606109;6;5;3003;2019-12-24 19:26:31.023;2019-12-24 20:10:37.535
55;87654321V;3445DKM;23,07506999;1;6;2791;2019-12-24 23:08:50.705;2019-12-24 23:16:06.056
56;44678910Y;5567JJL;143,9314679;4;1;2884;2019-12-25 02:10:41.417;2019-12-25 02:22:16.683
57;44678910Y;5567JJL;37,63631889;7;0;2981;2019-12-25 02:43:17.440;2019-12-25 04:28:12.712
58;12345678A;3445DKM;60,83599786;6;7;2611;2019-12-25 07:08:25.143;2019-12-25 08:59:36.563
59;12345678A;3445DKM;196,7539021;0;7;2930;2019-12-25 13:27:41.090;2019-12-25 15:18:20.737
60;12345678A;3445DKM;157,9174213;0;7;2899;2019-12-26 01:08:21.417;2019-12-26 02:35:39.676
61;12345678A;1125LLV;145,0584879;1;6;2538;2019-12-26 10:00:27.176;2019-12-26 10:01:49.604
62;87654321V;3445DKM;41,41102363;2;0;2753;2019-12-26 14:53:13.226;2019-12-26 16:28:54.950
63;44678910Y;3445DKM;197,223588;6;2;2891;2019-12-27 02:47:06.274;2019-12-27 04:11:43.113
64;12345678A;3445DKM;153,7769215;0;4;2998;2019-12-27 06:08:15.326;2019-12-27 07:14:17.904
65;12345678A;5567JJL;19,84625049;3;6;2987;2019-12-27 17:34:50.638;2019-12-27 17:49:07.093
66;87654321V;3445DKM;118,1779676;1;6;3079;2019-12-27 18:28:55.480;2019-12-27 19:08:33.464
67;44678910Y;1125LLV;120,864954;4;2;2838;2019-12-28 02:30:44.843;2019-12-28 04:08:44.239
68;44678910Y;3445DKM;12,98051372;6;5;2640;2019-12-28 13:47:38.297;2019-12-28 14:26:29.089
69;12345678A;1125LLV;181,2849265;4;2;2890;2019-12-28 17:22:42.713;2019-12-28 17:46:15.926
70;12345678A;5567JJL;47,8555239;1;5;2904;2019-12-28 20:30:19.777;2019-12-28 21:57:21.132
71;87654321V;1125LLV;20,65345446;6;3;2716;2019-12-28 22:31:21.745;2019-12-28 22:45:11.629
72;44678910Y;3445DKM;50,33459125;4;1;2748;2019-12-29 05:11:57.318;2019-12-29 05:50:34.799
73;44678910Y;3445DKM;55,98963931;6;2;2728;2019-12-29 13:21:19.448;2019-12-29 14:33:15.853
74;12345678A;5567JJL;157,2012608;5;2;2777;2019-12-29 18:45:45.279;2019-12-29 20:08:07.984
75;12345678A;5567JJL;131,1619536;4;2;2682;2019-12-30 05:50:37.543;2019-12-30 07:44:40.568
76;87654321V;3445DKM;104,9056431;6;7;3063;2019-12-30 08:00:44.925;2019-12-30 09:02:16.345
77;44678910Y;5567JJL;122,5056438;4;4;2535;2019-12-30 11:34:05.592;2019-12-30 12:12:44.061
78;44678910Y;5567JJL;114,9234521;0;5;3013;2019-12-30 19:53:20.135;2019-12-30 21:46:12.561
79;12345678A;3445DKM;6,226911839;7;5;2533;2019-12-31 00:19:25.685;2019-12-31 00:30:21.162
80;12345678A;3445DKM;88,40299449;6;1;2996;2019-12-31 00:38:36.127;2019-12-31 02:25:55.755
81;12345678A;3445DKM;5,489336575;0;4;2566;2019-12-31 05:59:50.067;2019-12-31 07:13:05.709
82;12345678A;1125LLV;68,85645947;0;3;3063;2019-12-31 13:44:21.850;2019-12-31 15:39:11.460
83;87654321V;3445DKM;52,66040315;7;4;2871;2019-12-31 21:24:23.188;2019-12-31 21:44:02.840
84;44678910Y;3445DKM;177,8858402;5;3;3032;2020-01-01 02:13:41.134;2020-01-01 03:11:57.069
85;12345678A;3445DKM;72,61961082;7;3;3016;2020-01-01 04:55:37.696;2020-01-01 04:55:43.639
86;12345678A;5567JJL;92,15523669;1;2;2844;2020-01-01 05:44:12.065;2020-01-01 06:29:41.379
87;87654321V;3445DKM;134,4973217;4;7;2632;2020-01-01 11:39:16.209;2020-01-01 13:35:39.368
88;44678910Y;1125LLV;84,53930197;3;5;2944;2020-01-01 14:54:53.125;2020-01-01 15:12:06.734
89;44678910Y;3445DKM;72,98688176;7;2;2554;2020-01-01 22:26:35.303;2020-01-01 23:00:11.874
90;12345678A;1125LLV;199,4658784;2;4;2749;2020-01-02 09:33:15.974;2020-01-02 10:33:53.361
91;12345678A;5567JJL;89,42254662;5;0;2998;2020-01-02 11:43:44.707;2020-01-02 13:36:23.464
92;87654321V;1125LLV;92,74008411;1;1;2756;2020-01-02 21:20:18.934;2020-01-02 22:54:15.885
93;44678910Y;3445DKM;95,89916388;1;6;2911;2020-01-02 23:37:08.726;2020-01-02 23:57:29.371
94;44678910Y;3445DKM;180,9937545;7;5;2872;2020-01-03 09:05:19.715;2020-01-03 09:18:26.974
95;12345678A;5567JJL;73,79975441;7;4;2534;2020-01-03 15:40:55.855;2020-01-03 17:25:40.913
96;12345678A;5567JJL;160,0267514;1;0;2794;2020-01-04 00:14:40.079;2020-01-04 01:57:25.260
97;87654321V;3445DKM;192,3356047;3;0;2674;2020-01-04 04:51:29.278;2020-01-04 05:13:32.438
98;44678910Y;5567JJL;56,8464975;1;5;2536;2020-01-04 09:07:47.888;2020-01-04 09:10:03.120
99;44678910Y;5567JJL;49,3923274;1;2;3027;2020-01-04 19:34:37.736;2020-01-04 20:07:15.798
100;12345678A;3445DKM;185,2057408;0;3;2855;2020-01-05 00:31:45.396;2020-01-05 01:21:17.388
101;12345678A;3445DKM;91,73365046;3;0;2736;2020-01-05 03:28:26.603;2020-01-05 05:12:13.727
102;12345678A;3445DKM;73,92947265;1;4;2904;2020-01-05 09:10:36.787;2020-01-05 09:56:32.244
103;12345678A;1125LLV;11,56589442;3;3;2910;2020-01-05 12:58:53.931;2020-01-05 13:12:00.899
104;87654321V;3445DKM;118,5123217;5;5;2824;2020-01-05 18:04:27.434;2020-01-05 19:54:07.818
105;44678910Y;3445DKM;119,8455744;0;5;3033;2020-01-06 00:26:13.521;2020-01-06 02:17:34.435
106;12345678A;3445DKM;84,96009236;4;6;2948;2020-01-06 03:49:11.403;2020-01-06 05:37:00.868
107;12345678A;5567JJL;136,5181336;1;3;2524;2020-01-06 10:41:56.858;2020-01-06 10:48:02.478
108;87654321V;3445DKM;186,5465183;7;0;2676;2020-01-06 11:51:48.800;2020-01-06 13:11:04.270
109;44678910Y;1125LLV;200,7198421;4;0;3039;2020-01-06 23:03:37.214;2020-01-07 00:52:02.461
110;44678910Y;3445DKM;107,9630328;1;6;2775;2020-01-07 02:33:25.440;2020-01-07 04:05:18.492
111;12345678A;1125LLV;34,77062288;1;3;2689;2020-01-07 09:57:27.470;2020-01-07 11:51:50.596
112;12345678A;5567JJL;168,0846104;4;7;2847;2020-01-07 22:22:10.878;2020-01-08 00:04:46.003
113;87654321V;1125LLV;61,07703546;0;6;2524;2020-01-08 01:51:18.731;2020-01-08 03:05:19.794
114;44678910Y;3445DKM;36,48095229;5;0;2506;2020-01-08 09:57:58.224;2020-01-08 11:41:11.028
115;44678910Y;3445DKM;50,32385397;6;2;3069;2020-01-08 14:00:22.771;2020-01-08 15:47:05.439
116;12345678A;5567JJL;115,7815363;1;2;2831;2020-01-09 00:50:16.200;2020-01-09 01:43:06.355
117;12345678A;5567JJL;154,9719567;2;2;2619;2020-01-09 04:33:58.972;2020-01-09 06:03:13.105
118;87654321V;3445DKM;169,8271682;2;5;2949;2020-01-09 12:50:38.760;2020-01-09 13:55:35.311
119;44678910Y;5567JJL;130,1797355;2;1;2871;2020-01-09 17:14:49.128;2020-01-09 17:46:24.526
120;44678910Y;5567JJL;19,55995399;1;1;2994;2020-01-09 20:33:57.403;2020-01-09 20:56:46.753
121;12345678A;3445DKM;21,49061711;7;0;2900;2020-01-10 02:03:27.014;2020-01-10 02:24:49.560
122;12345678A;3445DKM;194,0625091;2;2;3013;2020-01-10 09:52:20.290;2020-01-10 10:31:49.063
123;12345678A;3445DKM;147,1905122;3;0;2858;2020-01-10 17:14:29.957;2020-01-10 18:13:01.704
124;12345678A;1125LLV;135,300714;6;7;2707;2020-01-10 21:37:32.513;2020-01-10 22:20:19.213
125;87654321V;3445DKM;72,31236743;2;5;2815;2020-01-11 00:45:25.284;2020-01-11 02:23:06.567
126;44678910Y;3445DKM;85,31825699;2;2;2745;2020-01-11 08:50:56.067;2020-01-11 10:21:58.606
127;12345678A;3445DKM;37,55497663;3;2;2596;2020-01-11 19:20:04.921;2020-01-11 21:08:30.080
128;12345678A;5567JJL;169,6089836;5;5;3068;2020-01-12 05:22:02.678;2020-01-12 07:10:51.653
129;87654321V;3445DKM;157,4561256;5;6;2577;2020-01-12 13:14:06.181;2020-01-12 14:42:59.840
130;44678910Y;1125LLV;77,9854082;7;4;2516;2020-01-12 21:21:02.835;2020-01-12 22:15:23.677
131;44678910Y;3445DKM;45,58773047;3;6;3008;2020-01-13 01:05:57.339;2020-01-13 02:09:27.506
132;12345678A;1125LLV;106,9398625;2;7;2670;2020-01-13 05:53:20.197;2020-01-13 07:09:31.660
133;12345678A;5567JJL;51,54101721;2;6;2649;2020-01-13 10:53:59.786;2020-01-13 12:35:19.020
134;87654321V;1125LLV;99,62618101;6;2;2870;2020-01-13 15:16:45.932;2020-01-13 16:46:26.569
135;44678910Y;3445DKM;193,8364358;6;7;2785;2020-01-13 19:14:06.173;2020-01-13 21:11:25.805
136;44678910Y;3445DKM;136,7894336;0;7;2936;2020-01-13 22:11:26.458;2020-01-13 23:10:24.475
137;12345678A;5567JJL;75,59452342;3;7;3022;2020-01-14 03:16:26.842;2020-01-14 04:43:34.385
138;12345678A;5567JJL;132,5180399;1;7;2828;2020-01-14 10:12:08.853;2020-01-14 10:49:47.951
139;87654321V;3445DKM;194,1915803;2;0;2570;2020-01-14 18:42:28.659;2020-01-14 18:52:46.200
140;44678910Y;5567JJL;38,26033169;1;0;2758;2020-01-14 19:05:56.104;2020-01-14 19:40:30.692
141;44678910Y;5567JJL;106,0017509;4;4;2999;2020-01-14 21:00:58.835;2020-01-14 21:37:31.199
142;12345678A;3445DKM;176,9618442;7;2;2797;2020-01-14 23:32:50.949;2020-01-15 00:10:52.738
143;12345678A;3445DKM;158,6471318;0;7;2724;2020-01-15 07:54:13.759;2020-01-15 09:36:50.164
144;12345678A;3445DKM;80,8871297;6;4;3044;2020-01-15 10:32:27.439;2020-01-15 11:15:16.173
145;12345678A;1125LLV;152,5950452;4;5;3064;2020-01-15 11:41:27.404;2020-01-15 12:37:58.465
146;87654321V;3445DKM;21,1545467;4;5;2768;2020-01-15 14:46:23.509;2020-01-15 16:42:06.917
147;44678910Y;3445DKM;116,5254394;4;1;2974;2020-01-15 22:02:45.798;2020-01-15 23:53:27.531
148;12345678A;3445DKM;173,009186;3;3;3056;2020-01-16 06:20:02.389;2020-01-16 06:20:16.589
149;12345678A;5567JJL;172,9702012;4;1;2646;2020-01-16 06:30:17.235;2020-01-16 06:30:27.653
150;87654321V;3445DKM;175,413201;0;7;2716;2020-01-16 15:36:53.953;2020-01-16 16:44:31.441
151;44678910Y;1125LLV;187,6463263;5;2;3089;2020-01-16 21:51:16.840;2020-01-16 23:36:28.730
152;44678910Y;3445DKM;90,87983083;4;7;2800;2020-01-17 00:59:09.339;2020-01-17 01:23:33.361
153;12345678A;1125LLV;2,307523183;4;4;2762;2020-01-17 03:18:43.568;2020-01-17 03:42:37.733
154;12345678A;5567JJL;134,6880734;4;6;2660;2020-01-17 05:15:34.941;2020-01-17 05:17:09.423
155;87654321V;1125LLV;166,2840646;2;2;2751;2020-01-17 14:18:54.609;2020-01-17 14:34:14.175
156;44678910Y;3445DKM;92,58992186;4;2;2990;2020-01-18 01:27:45.596;2020-01-18 02:21:12.655
157;44678910Y;3445DKM;99,01491671;7;7;2943;2020-01-18 06:48:03.406;2020-01-18 08:00:19.383
158;12345678A;5567JJL;39,75045301;4;7;3063;2020-01-18 18:03:18.875;2020-01-18 19:24:08.680
159;12345678A;5567JJL;99,6469785;1;7;3042;2020-01-18 19:45:34.835;2020-01-18 20:50:35.816
160;87654321V;3445DKM;150,518994;6;5;2874;2020-01-19 07:30:39.716;2020-01-19 08:21:44.250
161;44678910Y;5567JJL;7,395321181;6;5;2943;2020-01-19 09:24:38.820;2020-01-19 10:46:19.863
162;44678910Y;5567JJL;59,45204721;3;3;2823;2020-01-19 21:29:08.238;2020-01-19 22:07:03.837
163;12345678A;3445DKM;183,3208451;7;7;2848;2020-01-20 06:45:54.583;2020-01-20 07:06:45.166
164;12345678A;3445DKM;35,76021085;3;2;2875;2020-01-20 09:55:28.345;2020-01-20 09:55:32.289
165;12345678A;3445DKM;129,3081009;6;6;3029;2020-01-20 20:34:38.158;2020-01-20 21:43:30.403
166;12345678A;1125LLV;91,67476971;4;2;2951;2020-01-21 02:23:49.818;2020-01-21 03:27:20.769
167;87654321V;3445DKM;172,6971568;3;5;3073;2020-01-21 09:02:17.457;2020-01-21 09:16:10.158
168;44678910Y;3445DKM;38,92944395;5;6;2947;2020-01-21 13:57:55.205;2020-01-21 13:58:13.314
169;12345678A;3445DKM;57,97835341;7;7;2985;2020-01-21 17:10:07.224;2020-01-21 17:33:31.444
170;12345678A;5567JJL;69,19617936;1;3;2780;2020-01-22 00:15:55.419;2020-01-22 00:39:02.464
171;87654321V;3445DKM;10,07478562;0;5;2618;2020-01-22 03:10:42.594;2020-01-22 05:08:12.340
172;44678910Y;1125LLV;186,8901138;1;2;2741;2020-01-22 05:15:20.762;2020-01-22 06:46:46.940
173;44678910Y;3445DKM;122,0935543;0;2;2899;2020-01-22 12:03:15.456;2020-01-22 13:30:56.849
174;12345678A;1125LLV;190,5992462;3;0;2858;2020-01-22 22:53:49.383;2020-01-23 00:18:01.420
175;12345678A;5567JJL;71,24993807;6;3;2500;2020-01-23 05:34:14.962;2020-01-23 06:35:31.468
176;87654321V;1125LLV;155,4679015;3;3;2684;2020-01-23 10:22:31.317;2020-01-23 11:52:18.586
177;44678910Y;3445DKM;149,3504436;3;7;2776;2020-01-23 15:24:55.377;2020-01-23 15:31:20.816
178;44678910Y;3445DKM;173,6873859;0;0;2802;2020-01-23 20:30:51.901;2020-01-23 22:07:33.165
179;12345678A;5567JJL;58,48810275;3;6;2938;2020-01-24 01:38:53.123;2020-01-24 03:06:18.490
180;12345678A;5567JJL;200,320657;2;4;2815;2020-01-24 11:49:40.562;2020-01-24 12:27:12.165
181;87654321V;3445DKM;130,1456276;5;6;2647;2020-01-24 16:33:35.069;2020-01-24 17:35:25.718
182;44678910Y;5567JJL;54,49040468;3;0;2537;2020-01-24 20:41:06.659;2020-01-24 21:02:50.262
183;44678910Y;5567JJL;123,7801064;0;4;2994;2020-01-25 03:43:00.157;2020-01-25 04:20:00.772
184;12345678A;3445DKM;175,1969117;2;6;3002;2020-01-25 07:24:40.882;2020-01-25 08:10:18.774
185;12345678A;3445DKM;145,8375683;6;5;2676;2020-01-25 08:38:55.373;2020-01-25 10:32:13.837
186;12345678A;3445DKM;97,16280184;2;4;2922;2020-01-25 19:51:11.078;2020-01-25 20:15:31.352
187;12345678A;1125LLV;117,817314;2;6;2988;2020-01-25 23:30:22.198;2020-01-26 01:27:47.759
188;87654321V;3445DKM;175,9556279;0;1;2925;2020-01-26 06:47:38.858;2020-01-26 07:28:13.285
189;44678910Y;3445DKM;42,97668031;4;4;3055;2020-01-26 08:16:44.778;2020-01-26 09:45:40.654
190;12345678A;3445DKM;75,02965001;3;3;2744;2020-01-26 11:22:00.981;2020-01-26 13:14:23.568
191;12345678A;5567JJL;152,4745222;4;4;2555;2020-01-26 16:08:20.398;2020-01-26 17:24:09.013
192;87654321V;3445DKM;186,5972904;0;2;2729;2020-01-26 23:58:22.444;2020-01-27 00:52:32.165
193;44678910Y;1125LLV;60,09666709;1;4;2909;2020-01-27 01:03:01.005;2020-01-27 02:06:32.297
194;44678910Y;3445DKM;23,51302823;6;4;3083;2020-01-27 04:09:18.357;2020-01-27 04:25:13.611
195;12345678A;1125LLV;134,932323;6;7;2515;2020-01-27 06:47:50.474;2020-01-27 07:20:16.756
196;12345678A;5567JJL;173,6025211;3;1;2842;2020-01-27 18:03:49.997;2020-01-27 19:12:20.208
197;87654321V;1125LLV;148,2467947;7;7;2539;2020-01-27 21:00:43.930;2020-01-27 21:11:33.750
198;44678910Y;3445DKM;148,2959597;2;5;2627;2020-01-28 07:57:31.561;2020-01-28 08:50:01.731
199;44678910Y;3445DKM;162,3518733;6;3;2972;2020-01-28 12:31:21.845;2020-01-28 13:04:52.181
200;12345678A;5567JJL;114,1015562;2;3;3083;2020-01-28 21:17:31.626;2020-01-28 22:52:46.867
201;12345678A;5567JJL;89,65192427;2;7;3078;2020-01-29 00:00:24.042;2020-01-29 00:34:58.087
202;87654321V;3445DKM;179,9891485;1;6;2568;2020-01-29 02:50:58.096;2020-01-29 04:40:28.848
203;44678910Y;5567JJL;33,36744988;5;7;2965;2020-01-29 08:50:39.270;2020-01-29 10:34:34.174
204;44678910Y;5567JJL;106,0993066;5;2;2675;2020-01-29 19:39:53.028;2020-01-29 20:37:12.259
205;12345678A;3445DKM;127,4984597;1;1;2936;2020-01-30 01:01:19.922;2020-01-30 02:49:38.913
206;12345678A;3445DKM;197,7820771;4;5;2673;2020-01-30 03:10:29.014;2020-01-30 03:52:40.683
207;12345678A;3445DKM;55,70038726;0;2;2786;2020-01-30 08:44:13.695;2020-01-30 10:06:06.084
208;12345678A;1125LLV;189,7121973;0;6;2545;2020-01-30 16:13:39.568;2020-01-30 17:10:24.121
209;87654321V;3445DKM;24,98865646;4;5;2968;2020-01-31 03:41:46.617;2020-01-31 04:29:53.358
210;44678910Y;3445DKM;11,49352816;5;1;2766;2020-01-31 07:35:33.379;2020-01-31 07:54:46.477
211;12345678A;3445DKM;193,1703637;3;1;2592;2020-01-31 12:45:50.741;2020-01-31 13:22:56.607
212;12345678A;5567JJL;115,8442677;3;6;2930;2020-01-31 22:44:38.499;2020-02-01 00:24:58.576
213;87654321V;3445DKM;124,7702348;0;7;2897;2020-02-01 04:37:45.335;2020-02-01 06:23:47.016
214;44678910Y;1125LLV;2,990922467;7;0;2822;2020-02-01 16:08:20.626;2020-02-01 16:27:23.054
215;44678910Y;3445DKM;150,1153943;3;4;2646;2020-02-01 17:36:38.638;2020-02-01 17:54:54.804
216;12345678A;1125LLV;59,66366599;7;7;2600;2020-02-02 03:41:52.385;2020-02-02 04:16:19.617
217;12345678A;5567JJL;54,56933657;5;1;3054;2020-02-02 13:00:41.237;2020-02-02 14:39:34.597
218;87654321V;1125LLV;81,48886738;2;1;2710;2020-02-02 19:13:16.085;2020-02-02 20:50:00.249
219;44678910Y;3445DKM;8,635662928;0;3;2899;2020-02-02 22:02:51.792;2020-02-02 22:18:08.655
220;44678910Y;3445DKM;65,52845618;4;3;2554;2020-02-02 23:44:58.040;2020-02-03 01:08:33.439
221;12345678A;5567JJL;122,1118863;2;6;2802;2020-02-03 10:51:12.738;2020-02-03 12:20:30.148
222;12345678A;5567JJL;135,692615;6;7;2599;2020-02-03 13:40:59.301;2020-02-03 15:35:56.055
223;87654321V;3445DKM;138,7202296;2;4;3062;2020-02-03 22:41:21.264;2020-02-03 22:52:02.087
224;44678910Y;5567JJL;55,80090051;3;4;2935;2020-02-04 08:06:01.008;2020-02-04 09:36:41.302
225;44678910Y;5567JJL;139,412616;5;5;2836;2020-02-04 15:13:18.584;2020-02-04 15:20:31.934
226;12345678A;3445DKM;182,1970764;3;3;2804;2020-02-05 00:49:07.871;2020-02-05 02:21:18.901
227;12345678A;3445DKM;201,7666061;7;0;2892;2020-02-05 11:58:33.449;2020-02-05 12:14:42.930
228;12345678A;3445DKM;19,48636346;5;4;2595;2020-02-05 13:23:51.372;2020-02-05 15:07:29.881
229;12345678A;1125LLV;113,7831197;4;3;3090;2020-02-05 18:42:46.429;2020-02-05 19:35:28.642
230;87654321V;3445DKM;101,3043053;5;2;2977;2020-02-05 21:48:24.126;2020-02-05 22:04:02.844
231;44678910Y;3445DKM;114,9157306;3;6;2553;2020-02-06 00:19:21.645;2020-02-06 01:12:32.035
232;12345678A;3445DKM;24,83043376;4;7;2913;2020-02-06 09:00:51.243;2020-02-06 09:45:09.559
233;12345678A;5567JJL;56,71496789;2;0;2817;2020-02-06 12:38:37.416;2020-02-06 13:43:29.714
234;87654321V;3445DKM;106,0408809;2;3;2889;2020-02-06 23:52:03.028;2020-02-07 00:02:13.264
235;44678910Y;1125LLV;50,35896232;7;3;2997;2020-02-07 02:14:11.798;2020-02-07 02:59:47.368
236;44678910Y;3445DKM;95,17256366;6;5;2917;2020-02-07 06:21:54.744;2020-02-07 07:50:32.802
237;12345678A;1125LLV;90,96236808;6;5;2509;2020-02-07 09:32:02.260;2020-02-07 10:47:39.862
238;12345678A;5567JJL;183,4103218;3;7;2527;2020-02-07 15:58:25.773;2020-02-07 17:43:42.782
239;87654321V;1125LLV;4,66301401;0;1;2575;2020-02-07 21:23:27.682;2020-02-07 22:42:09.828
240;44678910Y;3445DKM;76,74292629;0;4;2989;2020-02-08 03:35:37.797;2020-02-08 04:47:39.038
241;44678910Y;3445DKM;158,7264292;4;0;3083;2020-02-08 11:05:12.327;2020-02-08 11:18:58.606
242;12345678A;5567JJL;125,2694152;1;4;2657;2020-02-08 16:02:48.806;2020-02-08 17:20:28.837
243;12345678A;5567JJL;140,5096985;2;4;2654;2020-02-08 22:36:08.180;2020-02-08 23:06:36.486
244;87654321V;3445DKM;157,1863726;1;5;3037;2020-02-09 09:47:11.583;2020-02-09 11:43:53.345
245;44678910Y;5567JJL;60,65125198;7;7;3077;2020-02-09 19:49:24.696;2020-02-09 19:52:51.411
246;44678910Y;5567JJL;134,2412509;5;6;2534;2020-02-10 04:51:31.562;2020-02-10 06:25:01.740
